SceneIndex,name,file_name,game_name,condition,env,type,occluder,Difficulty,Camera
0,083861b17a8b3f4bef7e3aaad0b960318a5ea19ca98258fe2bfd700d11343e3d,Videos/083861b17a8b3f4bef7e3aaad0b960318a5ea19ca98258fe2bfd700d11343e3d.mp4,FixedJumpSolidity,solidity,BasicLevel_0,1_Possible,None,Easy,Fixed
0,56c044c79b791ff1d2eae592c3af1914772d79a23c9603dcaf9a983717c5c47c,Videos/56c044c79b791ff1d2eae592c3af1914772d79a23c9603dcaf9a983717c5c47c.mp4,FixedJumpSolidity,solidity,BasicLevel_0,1_Impossible,None,Easy,Fixed
0,4b2779c2649b64094af506b8783525387c2f7cd52dd8f5974330500866a5045e,Videos/4b2779c2649b64094af506b8783525387c2f7cd52dd8f5974330500866a5045e.mp4,FixedJumpSolidity,solidity,BasicLevel_0,2_Impossible,None,Easy,Fixed
0,66a6de26327fe7661ac4fec04da96d0710d2177afad8babdc0dd27e71b19db1e,Videos/66a6de26327fe7661ac4fec04da96d0710d2177afad8babdc0dd27e71b19db1e.mp4,FixedJumpSolidity,solidity,BasicLevel_0,2_Possible,None,Easy,Fixed
1,0996318787089d31d84af8327bb044e77120cd0a6c6eb7425a179f932369146b,Videos/0996318787089d31d84af8327bb044e77120cd0a6c6eb7425a179f932369146b.mp4,SolidityFallingFlat,solidity,BasicLevel_0,1_Possible,CubeRed,Easy,Fixed
1,0412d75b071ce599c9d8c5a1569bce4cd59dae473646ccb075fa8da9b39d47e7,Videos/0412d75b071ce599c9d8c5a1569bce4cd59dae473646ccb075fa8da9b39d47e7.mp4,SolidityFallingFlat,solidity,BasicLevel_0,1_Impossible,CubeRed,Easy,Fixed
1,6ce16e44526c3d52f87fa3f2437058bb9d96455627fc6dd5c430f43a4d647c5d,Videos/6ce16e44526c3d52f87fa3f2437058bb9d96455627fc6dd5c430f43a4d647c5d.mp4,SolidityFallingFlat,solidity,BasicLevel_0,2_Impossible,CubeRed,Easy,Fixed
1,e02457c361240408e2d2417b5b56594052605dfc7fe433314f6768f053adbfdb,Videos/e02457c361240408e2d2417b5b56594052605dfc7fe433314f6768f053adbfdb.mp4,SolidityFallingFlat,solidity,BasicLevel_0,2_Possible,CubeRed,Easy,Fixed
2,6da0a69fafee7301e2de79b798fa6c761776ab34fe3087eff30230fae7cc0196,Videos/6da0a69fafee7301e2de79b798fa6c761776ab34fe3087eff30230fae7cc0196.mp4,SphereFallingDownSoldity,solidity,BasicLevel_0,1_Possible,None,Easy,Moving
2,77ea56955dd0f48cd1275f9390da115265536f8ee630174679aca9072e94902e,Videos/77ea56955dd0f48cd1275f9390da115265536f8ee630174679aca9072e94902e.mp4,SphereFallingDownSoldity,solidity,BasicLevel_0,1_Impossible,None,Easy,Moving
2,8d9587ceb208d66c75a9299881f0a1c0cabedc0d09cb92cb821f89e790d32f1a,Videos/8d9587ceb208d66c75a9299881f0a1c0cabedc0d09cb92cb821f89e790d32f1a.mp4,SphereFallingDownSoldity,solidity,BasicLevel_0,2_Impossible,None,Easy,Moving
2,0e2b9d1ce271f9808685173712c5071f36173bac9e81f84f38ef7aa4fd931d4a,Videos/0e2b9d1ce271f9808685173712c5071f36173bac9e81f84f38ef7aa4fd931d4a.mp4,SphereFallingDownSoldity,solidity,BasicLevel_0,2_Possible,None,Easy,Moving
3,9b747136a92a1480769dc62caf994e5d6da7b8e333c9ab4a6cf0da3e1aedf8de,Videos/9b747136a92a1480769dc62caf994e5d6da7b8e333c9ab4a6cf0da3e1aedf8de.mp4,FixedMarryPoppins,solidity,BasicLevel_0,1_Possible,CubePineWood,Easy,Fixed
3,80ce5b2bafe66c55666ca6b04cb41e402a7066d2e59df2e605bcb571dcf4c218,Videos/80ce5b2bafe66c55666ca6b04cb41e402a7066d2e59df2e605bcb571dcf4c218.mp4,FixedMarryPoppins,solidity,BasicLevel_0,1_Impossible,CubePineWood,Easy,Fixed
3,64c743efa6bcb0a21c4bae24263dd4132d279929e8471aac75d11f9cc553db17,Videos/64c743efa6bcb0a21c4bae24263dd4132d279929e8471aac75d11f9cc553db17.mp4,FixedMarryPoppins,solidity,BasicLevel_0,2_Impossible,CubePineWood,Easy,Fixed
3,8b2c654f070baf7b0898e2414863533a01abae0bd9102c9912fb8fc8a56ab69e,Videos/8b2c654f070baf7b0898e2414863533a01abae0bd9102c9912fb8fc8a56ab69e.mp4,FixedMarryPoppins,solidity,BasicLevel_0,2_Possible,CubePineWood,Easy,Fixed
4,5c2b4ec97fdb43008e6711262fb74f9302362386e914133b8502dbd704ec7236,Videos/5c2b4ec97fdb43008e6711262fb74f9302362386e914133b8502dbd704ec7236.mp4,BoxSoldity,solidity,BasicLevel_0,1_Possible,CubePineWood,Easy,Moving
4,89d41db457d17fa69af20ee1fba9a4f7ef03f5aeca179174399cf49852f4485f,Videos/89d41db457d17fa69af20ee1fba9a4f7ef03f5aeca179174399cf49852f4485f.mp4,BoxSoldity,solidity,BasicLevel_0,1_Impossible,CubePineWood,Easy,Moving
4,ed246c85930f35ccf07f06a4248d583eaa8da966d0fcc0ae551e3c0f6f12b880,Videos/ed246c85930f35ccf07f06a4248d583eaa8da966d0fcc0ae551e3c0f6f12b880.mp4,BoxSoldity,solidity,BasicLevel_0,2_Impossible,CubePineWood,Easy,Moving
4,e9e46d920dde8614ef2a9ab7631f980d4b6c7969673517b136f69e921ac071a1,Videos/e9e46d920dde8614ef2a9ab7631f980d4b6c7969673517b136f69e921ac071a1.mp4,BoxSoldity,solidity,BasicLevel_0,2_Possible,CubePineWood,Easy,Moving
5,69558fc766fe2d185e54f54a5853516ac139d7e99bbe245292894426c009ff49,Videos/69558fc766fe2d185e54f54a5853516ac139d7e99bbe245292894426c009ff49.mp4,Scaffoling,solidity,BasicLevel_0,1_Possible,CubePinewood,Easy,Moving
5,53417ee762b5b4b8e4b9bb719d8cf302d9c370bcce01559b0de24c4f2bfd38c3,Videos/53417ee762b5b4b8e4b9bb719d8cf302d9c370bcce01559b0de24c4f2bfd38c3.mp4,Scaffoling,solidity,BasicLevel_0,1_Impossible,CubePinewood,Easy,Moving
5,9500cb5206adc38e8c81aa626fe1fb28674d3de02ce6fea842392040e82000ae,Videos/9500cb5206adc38e8c81aa626fe1fb28674d3de02ce6fea842392040e82000ae.mp4,Scaffoling,solidity,BasicLevel_0,2_Impossible,CubePinewood,Easy,Moving
5,f56265fa076960d5566581d71f90cdc45c388ca76796a7582a383d6628b0db94,Videos/f56265fa076960d5566581d71f90cdc45c388ca76796a7582a383d6628b0db94.mp4,Scaffoling,solidity,BasicLevel_0,2_Possible,CubePinewood,Easy,Moving
6,1222df32fcf705b31de7bb657a95c4676e4f32c43b986f0a3d95da6222cce92e,Videos/1222df32fcf705b31de7bb657a95c4676e4f32c43b986f0a3d95da6222cce92e.mp4,CameraSolidity,solidity,BasicLevel_0,1_Possible,None,Easy,Moving
6,b0ca171237175ee8ce6a8e1f2c1c68f80ed47b1dbccc676408504c2e6dc63cf0,Videos/b0ca171237175ee8ce6a8e1f2c1c68f80ed47b1dbccc676408504c2e6dc63cf0.mp4,CameraSolidity,solidity,BasicLevel_0,1_Impossible,None,Easy,Moving
